Gemeente;Gemeentelijke Opcentiemen
 AALST;944
 AALTER;900
 AARSCHOT;944,58
 AARTSELAAR;680
 AFFLIGEM;785
 ALKEN;850
 ALVERINGEM;1417
ANTWERPEN;818,5
 ANZEGEM;1152
 ARDOOIE;598
 ARENDONK;882
 AS;630
 ASSE;786
 ASSENEDE;818
 AVELGEM;1259
 BAARLE-HERTOG;898,52
 BALEN;880,67
 BEERNEM;1080
 BEERSE;875
 BEERSEL;680
 BEGIJNENDIJK;755,67
 BEKKEVOORT;882
 BERINGEN;955
 BERLAAR;1165
 BERLARE;880
 BERTEM;661
 BEVER;1071
 BEVEREN-KRUIBEKE-ZWIJNDRECHT;941
 BIERBEEK;690
BILZEN-HOESELT;970
 BLANKENBERGE;1099
 BOCHOLT;976,07
 BOECHOUT;846
 BONHEIDEN;724,18
 BOOM;976
 BOORTMEERBEEK;725
 BORNEM;989
 BOUTERSEM;795
 BRAKEL;818,64
 BRASSCHAAT;566,75
 BRECHT;627
 BREDENE;1295
 BREE;944
 BRUGGE;1007,56
 BUGGENHOUT;819
 DAMME;1134
 DE HAAN;881,61
 DE PANNE;1228
 DEERLIJK;1071
 DEINZE;693
 DENDERLEEUW;950
 DENDERMONDE;881,61
 DENTERGEM;929
 DESSEL;850
 DESTELBERGEN;750
 DIEPENBEEK;875,31
 DIEST;982
 DIKSMUIDE;1295
DILBEEK;820
 DILSEN-STOKKEM;810
 DROGENBOS;724
 DUFFEL;724,18
 EDEGEM;627
 EEKLO;818,64
 ERPE-MERE;755,67
 ESSEN;787
 EVERGEM;819
 GAVERE;818
GEEL;931,8
 GEETBETS;945
 GENK;850,13
 GENT;1088
 GERAARDSBERGEN;981,62
 GINGELOM;1039
GISTEL;1035
 GLABBEEK;756
 GRIMBERGEN;620
 GROBBENDONK;850
 HAACHT;850
 HAALTERT;940
 HALEN;945
 HALLE;920
 HAMME;1039
 HAMONT-ACHEL;730
 HARELBEKE;1350
 HASSELT;986,4
 HECHTEL-EKSEL;693
 HEERS;1007,56
 HEIST-OP-DEN-BERG;913
 HEMIKSEM;976
 HERENT;882
 HERENTALS;975
 HERENTHOUT;944
HERK-DE-STAD;756
 HERSELT;850
 HERSTAPPE;728
 HERZELE;1007,56
 HEUSDEN-ZOLDER;935
 HEUVELLAND;1215
 HOEGAARDEN;787
 HOEILAART;693
 HOLSBEEK;818,64
 HOOGLEDE;1133
 HOOGSTRATEN;881,61
 HOREBEKE;755
 HOUTHALEN-HELCHTEREN;929
 HOUTHULST;1244
 HOVE;861
 HULDENBERG;630
 HULSHOUT;818,64
 ICHTEGEM;1070
 IEPER;945
 INGELMUNSTER;1228
 IZEGEM;1132,29
 JABBEKE;976
 KALMTHOUT;690
 KAMPENHOUT;850
 KAPELLEN;589
 KAPELLE-OP-DEN-BOS;818
 KAPRIJKE;756
 KASTERLEE;714
 KEERBERGEN;577,46
 KINROOI;940
 KLUISBERGEN;850
 KNOKKE-HEIST;1200
 KOEKELARE;1071
 KOKSIJDE;1220
 KONTICH;690
 KORTEMARK;1165
 KORTENAKEN;929
 KORTENBERG;598
 KORTRIJK;1102
 KRAAINEM;598
KRUISEM;759,5
 KUURNE;1209
 LAAKDAL;877
 LAARNE;787
 LANAKEN;756
 LANDEN;945
 LANGEMARK-POELKAPELLE;1196
 LEBBEKE;1040
 LEDE;945
 LEDEGEM;1000
 LENDELEDE;1180
 LENNIK;708
 LEOPOLDSBURG;850
 LEUVEN;975
 LICHTERVELDE;1008
 LIEDEKERKE;1038
 LIER;787
 LIERDE;850
 LIEVEGEM;834
 LILLE;756
 LINKEBEEK;882
 LINT;882
 LINTER;920
 LOCHRISTI;850
 LOKEREN;787
 LOMMEL;819
LONDERZEEL;1113,04
 LO-RENINGE;1070
 LUBBEEK;614
 LUMMEN;835
 MAARKEDAL;819
 MAASEIK;1122
 MAASMECHELEN;1039
 MACHELEN;692
 MALDEGEM;1039
 MALLE;614
 MECHELEN;1100
 MEERHOUT;913
 MEISE;755
 MENEN;1134
 MERCHTEM;850
 MERELBEKE-MELLE;910
 MERKSPLAS;692
